homeinsurance,hotelsaccommodations,energyutilities,homeimprovement,haircare,homefurnishings,automotiveindustry,health,footwear,groceryfoodretailers,undergarments,tobaccoproducts,nonalcoholicbeverages,entertainmentindustry,computerselectronics,socialservices,mobilewireless,bookretailers,ticketsales,vehicleshopping,electricity,facebodycare,computervideogames,autoinsurance,homegarden,retirementpension,oilgas,apparel,internettelecom,vehiclebrands,homefinancing,homeappliances,womensclothing,childrensclothing,homemakinginteriordecor,realestate,fooddrink,newspapers,movies,beautyfitness,mensclothing,wastemanagement,realestateagencies,healthinsurance,drugsmedications,chemicalsindustry,medicalfacilitiesservices,restaurants,date,consumption,income,michigan_index,tbill,cci,smp500
87,71,76,77,56,78,56,79,58,58,68,65,79,86,61,76,72,55,70,70,78,60,69,73,70,83,62,71,82,69,77,71,76,61,69,83,67,76,77,82,64,74,68,79,80,68,86,68,01feb2007,2.61747,13096.338,91.300003,5.0300002,100.5926,1406.8199
81,69,76,70,54,70,47,77,60,54,69,61,77,46,57,72,70,50,79,69,72,57,67,72,71,77,61,70,80,69,80,64,80,63,58,85,60,71,74,79,67,78,67,77,77,63,85,62,01mar2007,2.47891,13147.949,88.400002,4.9400001,100.3253,1420.86
85,69,82,77,59,70,49,78,62,56,61,65,78,46,58,76,72,52,86,72,77,60,70,72,77,87,64,71,81,73,78,67,84,56,60,89,65,76,79,82,73,91,70,78,78,64,87,64,01apr2007,2.43449,13151.498,87.099998,4.8699999,100.1541,1482.37
79,68,81,74,56,65,46,72,57,56,58,60,78,43,53,69,70,51,80,74,73,56,69,70,74,63,66,66,78,70,70,64,76,47,53,80,61,69,74,79,67,87,67,73,73,62,84,62,01may2007,2.3322301,13144.673,88.300003,4.73,100.0947,1530.62
80,68,74,73,54,62,42,69,52,57,60,55,76,44,53,65,83,55,82,69,67,57,70,72,72,65,60,62,83,70,73,65,72,45,53,80,61,70,75,77,65,80,68,73,68,59,80,62,01jun2007,2.2492499,13127.988,85.300003,4.6100001,100.0547,1503.35
85,74,79,79,59,71,38,72,56,60,60,63,78,45,55,71,85,62,88,72,70,56,75,75,81,72,64,66,85,77,77,69,72,53,61,88,66,72,84,81,61,86,72,76,72,62,83,65,01jul2007,1.99235,13134.159,90.400002,4.8200002,100.032,1455.27
84,68,76,77,62,73,37,73,61,60,58,60,76,44,56,70,79,66,89,70,71,58,73,75,73,69,63,69,86,73,84,69,72,61,62,81,63,76,79,81,61,80,67,80,71,60,86,65,01aug2007,2.7239201,13137.613,83.400002,4.1999998,99.806534,1473.99
71,58,70,68,53,64,58,70,54,57,54,59,74,57,55,69,74,57,77,62,66,52,70,63,66,68,57,70,80,66,68,62,71,67,63,69,58,72,74,72,60,78,58,70,68,61,82,58,01sep2007,2.1675999,13165.169,83.400002,3.8900001,99.55558,1526.75
74,56,77,69,51,65,47,75,58,54,57,57,73,41,53,72,74,49,78,58,67,56,72,64,64,72,60,79,80,62,63,65,71,72,57,67,62,78,75,73,59,79,54,77,72,65,86,60,01oct2007,1.73256,13139.629,80.900002,3.9000001,99.265877,1549.38
69,47,74,66,48,67,40,69,65,61,60,56,72,45,54,71,73,51,66,58,62,56,79,56,65,65,60,73,78,61,59,75,73,68,57,58,66,67,75,72,65,80,50,71,66,57,77,57,01nov2007,1.89498,13127.498,76.099998,3.27,98.984734,1481.14
71,47,70,61,53,65,32,63,78,62,75,60,78,45,57,68,82,73,73,56,64,63,91,56,66,72,55,84,82,60,58,86,78,64,59,58,71,67,86,79,78,76,48,64,65,50,72,61,01dec2007,1.18241,13177.454,75.5,3,98.819321,1468.36
75,57,75,67,55,70,43,73,57,56,61,55,75,54,56,72,73,62,58,61,72,55,73,64,66,84,59,64,80,62,88,68,66,60,72,75,62,73,85,80,56,84,58,79,70,57,82,60,01jan2008,.98851001,13188.347,78.400002,2.75,98.660316,1378.55
