homeinsurance,hotelsaccommodations,energyutilities,homeimprovement,haircare,homefurnishings,automotiveindustry,health,footwear,groceryfoodretailers,undergarments,tobaccoproducts,nonalcoholicbeverages,entertainmentindustry,computerselectronics,socialservices,mobilewireless,bookretailers,ticketsales,vehicleshopping,electricity,facebodycare,computervideogames,autoinsurance,homegarden,retirementpension,oilgas,apparel,internettelecom,vehiclebrands,homefinancing,homeappliances,womensclothing,childrensclothing,homemakinginteriordecor,realestate,fooddrink,newspapers,movies,beautyfitness,mensclothing,wastemanagement,realestateagencies,healthinsurance,drugsmedications,chemicalsindustry,medicalfacilitiesservices,restaurants,income,michigan_index,tbill,cci,smp500,consumption,date
-.11627907,-.10294118,-.21951219,-.0625,-.075471699,-.053333335,0,-.1025641,.063492067,.017241379,-.10606061,-.11267605,.13414635,-.21568628,-.17460318,-.20779221,-.051282052,-.10769231,-.025641026,-.19178082,-.15492958,-.05172414,-.030769231,-.11842106,-.025641026,-.05882353,-.33333334,.025316456,-.058139537,-.14864865,-.055555556,-.070422538,.050632913,.11111111,.040540539,-.012345679,.075757578,-.15189873,-.06666667,-.051282052,-.028985508,-.012658228,-.043478262,-.050632913,-.037037037,-.15277778,-.02247191,.032258064,.046314139,.099531613,.28898126,.0069438461,.080128685,3.22877,01sep2006
-.044444446,-.10606061,-.16455697,-.11392405,-.07692308,-.12162162,-.41666666,-.086419754,-.015384615,.06666667,-.11764706,-.19117647,.0625,-.125,-.2,-.11392405,-.06666667,-.16363636,-.21333334,-.044117648,-.15492958,-.06779661,-.071428575,-.04225352,-.093333334,-.013513514,-.25373134,-.045454547,-.047619049,-.069444448,-.056338027,-.098591551,.025316456,-.040540539,-.125,-.079999998,-.030769231,-.087499999,-.088607594,-.10526316,-.086956523,-.052631579,-.061538462,-.071428575,-.0625,-.16901408,-.056818184,0,.044874836,.20726497,.24593498,.013313746,.12404743,3.3668001,01oct2006
.03409091,-.10169491,-.16666667,-.13513513,-.083333336,-.090909094,-.42222223,-.10526316,-.046153847,.016129032,-.12676056,-.16923077,.025,-.22222222,-.15873016,-.093333334,-.053333335,-.17857143,-.057142857,-.046153847,-.15384616,-.050000001,.045977011,-.044776119,-.15277778,-.071428575,-.22950819,-.051282052,-.073170729,-.10606061,-.078125,-.075949363,-.02631579,.014492754,-.12121212,-.10606061,-.028571429,-.026666667,-.1025641,-.10810811,-.06849315,-.04109589,-.086206898,-.1875,-.077922076,-.19047619,-.1,.016393442,.041517913,.11400652,.21457489,.011762443,.10791572,3.0485301,01nov2006
0,-.14285715,-.098591551,-.094594598,-.057692308,-.10810811,-.31111112,-.083333336,-.025974026,.015873017,-.1,-.02739726,.034883723,-.1875,-.16176471,-.070422538,-.085365854,-.073170729,-.11842106,-.063492067,.04225352,-.072463766,.021739131,-.057971016,-.078947365,-.050000001,-.16949153,-.054347824,-.02247191,-.071428575,0,-.056179777,0,-.096774191,-.10144927,-.029850746,0,-.042857144,-.14285715,-.011627907,-.07526882,.013513514,-.053571429,-.13157895,-.038961038,-.21428572,-.0125,.014925373,.041120909,.0021809924,.19793811,.0072424654,.11986886,3.2867501,01dec2006
0,-.16176471,-.089743592,-.089743592,-.057692308,-.12820514,-.59574467,-.1038961,-.016949153,.050847456,-.14705883,-.092307694,.048780486,-.084507041,-.16393442,-.089743592,0,-.14705883,-.092307694,-.057142857,-.037974682,-.05172414,0,-.025974026,-.094594598,-.10112359,-.140625,-.057142857,-.08139535,-.17647059,-.038961038,-.052631579,-.014084507,.048387095,-.31578946,-.046511628,-.030769231,-.051948052,-.125,-.096385539,-.059701491,-.025,-.10447761,-.14942528,-.037037037,-.22580644,-.033707865,-.03125,.032098744,.058823578,.14859442,.0050122952,.10996774,2.90452,01jan2007
.011494253,-.098591551,-.13157895,-.025974026,0,-.064102568,-.16071428,-.088607594,-.034482758,.017241379,-.14705883,-.16923077,.037974682,.093023255,-.14754099,-.078947365,-.125,-.12727273,.014285714,-.028571429,-.012820513,-.016666668,0,-.05479452,-.1,-.060240965,-.24193548,-.070422538,-.097560972,-.1594203,-.012987013,-.028169014,-.013157895,-.065573767,-.1594203,-.084337346,.029850746,0,-.077922076,-.073170729,-.109375,0,-.10294118,-.11392405,-.075000003,-.16176471,-.093023255,0,.032422882,.050383415,.11928437,.0033173414,.089677364,2.61747,01feb2007
-.049382716,-.14492753,-.10526316,-.14285715,-.055555556,-.085714288,-.29787233,-.14285715,-.033333335,-.018518519,-.072463766,-.18032786,-.038961038,-.63043481,-.10526316,-.125,-.071428575,-.14,.037974682,-.072463766,-.069444448,-.070175439,-.029850746,-.069444448,-.11267605,-.16883117,-.19672132,-.057142857,-.050000001,-.1594203,.0125,-.09375,-.0125,0,-.15517241,-.082352944,-.033333335,-.098591551,-.12162162,-.10126583,-.14925373,.03846154,-.13432837,-.077922076,-.11688311,-.17460318,-.11764706,-.032258064,.033757966,-.0056561083,.087044515,.0019496578,.088671647,2.47891,01mar2007
-.11764706,-.10144927,-.13414635,-.064935066,-.033898305,-.071428575,-.20408164,-.1025641,-.016129032,-.017857144,-.13114753,-.092307694,-.025641026,-.2173913,-.12068965,-.052631579,-.041666668,-.07692308,-.058139537,-.1388889,-.051948052,-.050000001,.028571429,-.055555556,-.077922076,-.057471264,-.3125,-.070422538,-.049382716,-.15068494,-.03846154,-.014925373,-.047619049,-.017857144,-.06666667,-.033707865,-.015384615,-.013157895,.012658228,-.060975611,-.06849315,.054945055,-.085714288,-.07692308,-.064102568,-.1875,-.045977011,0,.033657916,-.0034443629,.05544148,.0027157052,.11586851,2.43449,01apr2007
-.1392405,-.11764706,-.11111111,-.13513513,-.071428575,-.092307694,-.19565217,-.1388889,-.01754386,-.017857144,-.1724138,-.15000001,.025641026,-.18604651,-.1509434,-.072463766,-.11428571,-.13725491,-.075000003,-.054054055,-.05479452,-.053571429,0,-.11428571,-.14864865,-.15873016,-.13636364,-.090909094,-.07692308,-.12857144,-.085714288,-.046875,-.065789476,-.08510638,-.16981132,-.1125,-.032786883,-.057971016,-.054054055,-.06329114,-.074626863,.045977011,-.11940298,-.15068494,-.10958904,-.14516129,-.023809524,0,.033680487,.10419031,.0021142073,.0048958436,.17021208,2.3322301,01may2007
-.175,-.19117647,-.12162162,-.20547946,-.074074075,-.17741935,-.14285715,-.14492753,-.11538462,-.10526316,-.2,-.21818182,-.039473683,-.15909091,-.20754717,-.15384616,.012048192,-.090909094,-.15853658,-.1594203,-.14925373,-.087719299,-.057142857,-.18055555,-.19444445,-.07692308,-.21666667,-.096774191,-.048192769,-.15714286,-.09589041,-.10769231,-.097222224,-.17777778,-.20754717,-.15000001,-.049180329,-.11428571,-.079999998,-.090909094,-.092307694,0,-.13235295,-.12328767,-.17647059,-.16949153,-.15000001,-.048387095,.030265719,.0046893433,-.039045531,.004702298,.15508698,2.2492499,01jun2007
